"x"
"HBA2"
"HBA1"
"HBB"
"PTGDS"
"IFI27"
"CCL3"
"HIST1H4H"
"CCL3L1"
"CCL4L2"
"IGLC3"
"MZB1"
"C1QA"
"JCHAIN"
"IFIT2"
"CCL4"
"CDKN1C"
"THBS1"
"GZMK"
"ITM2C"
"FKBP11"
"ALAS2"
"C1QB"
"IGKC"
"HSP90B1"
"DERL3"
"TSC22D1"
"IGHG4"
"GNLY"
"TNFRSF17"
"PPBP"
"TUBB1"
"EREG"
"G0S2"
"IGHG1"
"GZMB"
"IL1B"
"FCGR3A"
"RGS18"
"IGLC2"
"ACRBP"
"ID1"
"S100B"
"STMN1"
"HIST1H3H"
"CXCL8"
"MKI67"
"IFIT3"
"HIST1H2AC"
"SPON2"
"HIST1H2BJ"
"PF4"
"NEXN"
"BIRC5"
"FAM30A"
"SEC11C"
"MT2A"
"IGHG3"
"MPO"
"HIST1H1C"
"PRDX4"
"CD38"
"PCLAF"
"HP"
"AREG"
"RNASE2"
"CENPF"
"ELANE"
"CLEC1B"
"H2AFZ"
"CXCL2"
"HES1"
"CD79A"
"KLRC1"
"KLRB1"
"CDKN3"
"KLRC2"
"HBG2"
"RETN"
"TMEM40"
"HIST1H4C"
"APOBEC3A"
"OR2B6"
"TCL1A"
"PRF1"
"CMTM5"
"IGHD"
"AL355075.4"
"AC020656.1"
"VMO1"
"RRM2"
"LINC01781"
"RNASE1"
"CLIC3"
"IGHA2"
"MS4A1"
"SDF2L1"
"HLA-DQA1"
"SLC4A1"
"MYDGF"
"CKS1B"
"PMAIP1"
"TYMS"
"PTTG1"
"C2orf88"
"CENPE"
"AHSP"
"CSF1R"
"PTGS2"
"HMGB2"
"HIST1H1B"
"CD163"
"IL1R2"
"CAVIN2"
"C15orf48"
"S100A12"
"NUSAP1"
"MAD2L1"
"LGALS2"
"TNF"
"CCL20"
"HBD"
"TNFRSF13B"
"TRDC"
"LMAN1"
"MYL9"
"OSM"
"CKS2"
"GP9"
"C11orf96"
"SMC4"
"TUBA1B"
"HIST1H3G"
"PCNA"
"ZWINT"
"CD8B"
"CCND2"
"MS4A7"
"FOLR3"
"TRBC2"
"CENPW"
"SMC2"
"FABP5"
"SRPRB"
"AQP3"
"CENPM"
"CA2"
"STAG3"
"CD27"
"SMIM5"
"KPNA2"
"TUBB"
"KIF11"
"ISG15"
"HIST1H2BC"
"ANPEP"
"TRBC1"
"IFITM3"
"PPIB"
"DUT"
"UBE2S"
"EGR1"
"TKTL1"
"CD24"
"UBE2T"
"LTB"
"IER3"
"PRTN3"
"IGHG2"
"GZMH"
"IGFBP2"
"MYOM2"
"KLRF1"
"CYP1B1"
"GGH"
"RGS1"
"PTCRA"
"CD8A"
"CCNB2"
"HIST1H3B"
"KLRD1"
"TOP2A"
"FGFBP2"
"CCNB1"
"NDC80"
"POU2AF1"
"AURKA"
"CD1C"
"HIST1H2AE"
"HIST1H1E"
"CPNE5"
"PYCR1"
"PIF1"
"SSR3"
"CD79B"
"PDIA6"
"COBLL1"
"GZMA"
"TUBB4B"
"PPA1"
"IGHA1"
"PHGDH"
"MANF"
"CES1"
"CCNA2"
"HIST1H2AG"
"HAMP"
"IL32"
"ASPM"
"DUSP2"
"TPX2"
"RAB27B"
"KIF20B"
"XCL2"
"LINC01857"
"KDELR2"
"FCRL5"
"IL7R"
"CENPU"
"TMEM176B"
"HIST2H4A"
"CA1"
"THBD"
"CDK1"
"CRELD2"
"NRGN"
"CCR7"
"CTSW"
"RUFY1"
"PLK1"
"TRGC2"
"FOXM1"
"FAXDC2"
"BANK1"
"KIFC1"
"EBI3"
"DNAJC9"
"RHOC"
"ZBTB32"
"HMGB3"
"CALR"
"CCL5"
"PDIA4"
"IGHE"
"AC012236.1"
"TNNT1"
"FBXO5"
"MYC"
"HBM"
"IGHGP"
"CMC1"
"ZNF778"
"DAB2"
"SUB1"
"XCL1"
"EMP1"
"MYBL2"
"CXCR3"
"KIF14"
"MT1E"
"NDUFA6"
"LCN2"
"CD14"
"TRAC"
"HJURP"
"NUF2"
"CENPA"
"TK1"
"P2RX5"
"NR4A1"
"UBE2C"
"TROAP"
"TMEM176A"
"CDCA3"
"CDC20"
"MCM7"
"TMEM70"
"HSPD1"
"RRBP1"
"NCAPG"
"CEP55"
"LYZ"
"HELLS"
"KIF2C"
"SMIM25"
"PKIG"
"RTKN2"
"MT1X"
"DLGAP5"
"ISOC2"
"SLC25A4"
"LDHA"
"HIST2H2AC"
"MMP9"
"MAF"
"NT5DC2"
"ARHGAP6"
"CDT1"
"HIST1H1A"
"ESCO2"
"PRKAR2B"
"NXF3"
"SMIM3"
"HBEGF"
"ID3"
"PARM1"
"PDLIM1"
"PDE5A"
"TSHZ2"
"NASP"
"H2AFX"
"MS4A4A"
"ASNS"
"CDKN1A"
"LINC00926"
"GRAP2"
"HLA-DRB5"
"GNG11"
"SMIM1"
"SPIB"
"CD3D"
"CD320"
"ESAM"
"PTX3"
"RGCC"
"HMGN2"
"VCAN"
"SKA1"
"SLC38A5"
"TOX2"
"IFNG"
"INKA1"
"GADD45A"
"HEMGN"
"AC027702.1"
"OSTC"
"SGO2"
"PLPP5"
"FRMD4B"
"RANBP1"
"EGFL7"
"AURKB"
"TPM2"
"LAT"
"ASGR2"
"KRT18"
"PPP1R14A"
"TREML1"
"SKA2"
"TUBA1C"
"LRRC59"
